n,x,y
1,4681.58439905253,1223.54572908975
2,4711.76146788018,1235.22119638743
3,4768.68708788427,1237.97017960292
4,4749.41330430572,1240.47206545243
5,4773.96884689989,1243.52992593515
6,4765.07325276833,1256.2246837669
7,4773.53642094966,1257.64551030058
8,4779.52859323212,1269.47541623188
9,4781.41273566665,1270.27848823109
10,4676.54973740291,1271.88463222951
11,4809.4894546444,1274.41740802964
12,4802.20000451126,1277.135512414
13,4765.28947130319,1279.08142363028
14,4682.01682500276,1280.00804431249
15,4763.80686486826,1281.21265231131
16,4796.57848939728,1286.4635213763
17,4798.06108471271,1288.00789659297
18,4797.84487729734,1289.30517444366
19,4798.06108471271,1289.86114907688
20,4746.54077240723,1299.93047237614
21,4651.96330485811,1302.74122437338
22,4760.74900438554,1306.66393675656
23,4742.6798288058,1308.79517655708
24,4768.53264925066,1310.46310045675
25,4745.08905592293,1314.63291020592
26,4743.63735055812,1317.32011352017
27,4813.69015434419,1330.23108988678
28,4784.28526756513,1331.34303915322
29,4691.9317096684,1340.82548674914
30,4723.28249654424,1350.95657883014
31,4820.91782457609,1366.24588124377
32,4718.37138357761,1367.69759772807
33,4798.77149797955,1373.9059774259
34,4802.41622304612,1374.73993937573
35,4749.28975562272,1375.79011986042
36,4818.60125619133,1377.3344950771
37,4769.76815831959,1381.22631750966
38,4778.41664396567,1406.05984742045
