n,x,y
1,5653.15007060937,2751.88910586859
2,5694.50840088322,2753.06283503628
3,5714.83236494647,2760.66115131716
4,5690.40037103529,2769.24786818149
5,5731.97491984401,2779.44074016374
6,5675.32727603703,2780.98511538041
7,5701.55075365037,2783.30167264568
8,5679.55886568745,2787.4097136131
9,5728.39197467868,2790.99265877842
10,5728.94794931191,2791.36330482741
11,5695.21881415006,2793.43276472668
12,5730.73942189457,2796.64506384303
13,5689.13398313523,2797.47902579286
14,5695.49680146667,2797.91145174309
15,5738.43039690782,2798.52920627755
16,5680.5472662709,2798.65275496055
17,5700.90210916528,2799.20872959377
18,5714.77059616472,2803.3167594417
19,5739.78945465975,2803.37853934294
20,5649.5053455428,2803.68741661018
21,5713.07178231443,2803.71829544131
22,5721.16430444679,2804.70669602476
23,5690.33859113405,2804.79936587662
24,5708.00623071418,2805.8186452912
25,5693.52001141926,2805.91131514307
26,5707.6355846652,2806.06575377668
27,5726.0445274628,2806.06575377668
28,5718.63152864666,2806.8688257759
29,5721.25696317916,2806.89971572652
30,5733.11775906108,2807.94988509172
31,5730.46143457796,2808.10432372534
32,5732.06757857638,2808.10432372534
33,5715.29568084732,2808.4440798237
34,5728.36108472806,2809.18538304116
35,5731.5733838444,2809.43248040715
36,5667.51275234079,2809.52515025901
37,5724.68546971087,2809.52515025901
38,5730.18344726135,2809.95757620924
39,5727.18735556037,2809.98845504037
40,5729.10238794552,2809.98845504037
41,5730.27610599372,2810.54442967359
42,5731.85137116101,2810.69886830721
43,5729.38037526213,2810.82241699021
44,5731.14095789417,2810.82241699021
45,5720.48478113057,2810.91508684207
46,5730.43054462733,2811.13129425744
47,5727.92865877783,2811.16218420806
48,5730.2452160431,2811.37839162343
49,5731.72782247802,2811.40928157405
50,5732.68533311085,2811.53283025705
51,5727.00203809562,2811.68726889066
52,5730.33788589496,2811.68726889066
53,5730.2452160431,2811.74904879191
54,5730.73942189457,2811.84170752428
55,5731.72782247802,2811.90348742552
56,5729.68924140987,2812.21235357326
57,5718.13732279519,2812.33590225626
58,5728.85527946004,2812.3976821575
59,5671.12658745673,2813.07720547372
60,5714.80147499585,2813.32430283971
61,5727.40357409523,2814.00382615593
62,5671.28102609035,2814.55980078915
63,5657.96851372413,2814.77601932401
64,5719.71258796248,2814.93045795763
65,5644.99577969526,2815.08489659124
66,5726.0445274628,2815.51732254147
67,5727.40357409523,2815.73352995684
68,5723.20287439544,2816.04240722407
69,5709.89037314871,2816.19684585769
70,5718.19910269643,2817.40145385651
71,5690.21504245105,2817.58678244075
72,5703.58932359902,2817.74122107436
73,5727.37268414461,2817.89564858849
74,5708.03712066481,2819.77979102301
75,5702.19938701597,2820.30487570562
76,5696.11455600114,2820.86085033884
77,5719.49638054712,2821.50948370443
78,5703.71287228202,2821.88014087291
79,5717.92111537982,2824.01136955394
80,5691.3269917175,2824.35113677179
81,5718.19910269643,2824.35113677179
82,5679.06467095547,2824.87622145439
83,5715.85165548055,2826.23526808683
84,5721.843827763,2826.23526808683
85,5647.99186027674,2826.51325540344
86,5647.12700837629,2827.65609462051
87,5695.4041427343,2828.05763062011
88,5712.97912358206,2828.89159256995
89,5666.30813322247,2829.29312856955
90,5662.60163937415,2830.06532173764
91,5706.15298934977,2830.93017363809
92,5715.14124221371,2832.10389168629
93,5711.24941978115,2833.03052348799
94,5664.14601459083,2833.3085108046
