n,x,y
1,3313.70147274022,-284.164817478091
2,3282.10358849839,-255.748331282485
3,3330.28805300453,-240.922344769708
4,3213.53338002775,-281.693810459718
5,3263.5710970178,-302.079554424215
6,3330.1027244203,-188.413620761283
7,3341.40754566899,-235.36259843748
8,3348.82054448513,-161.23264363461
9,3348.82054448513,-177.911882631294
10,3217.23987387607,-283.547062943625
11,3369.2989360625,-137.171295772413
12,3348.82054448513,-153.819644818475
13,3363.6465309979,-198.297615476299
14,3313.51615527548,-246.883627101542
15,3289.51657619503,-181.618376479615
16,3285.81008234671,-189.03137529575
17,3296.92957501117,-176.058630147387
18,3331.92508695358,-206.451917509895
19,3285.81008234671,-189.03137529575
20,3312.80574200864,-282.651321092547
21,3369.20627733013,-144.553404637926
22,3304.3425738273,-294.666555608081
23,3280.25033601448,-305.786048272537
24,3311.75556152394,-255.748331282485
25,3365.49978348181,-205.710614292434
26,3304.3425738273,-276.13406412749
27,3226.72233259148,-291.361597759366
28,3213.16273397876,-276.13406412749
29,3309.90232015953,-296.519808091988
30,3335.84779933676,-183.471628963522
31,3295.07632252726,-281.693810459718
32,3321.02181282399,-300.226301940309
33,3308.04906767562,-168.645642450745
34,3226.50612517611,-296.519808091988
35,3232.06587150834,-270.574317795262
36,3311.75556152394,-252.041837434164
37,3226.50612517611,-276.13406412749
38,3371.05952981404,-177.911882631294
39,3369.20627733013,-148.259898486247
40,3254.30485683725,-189.03137529575
41,3280.25033601448,-183.471628963522
42,3321.02181282399,-194.591121627978
43,3265.42434950171,-179.765135115201
44,3263.5710970178,-189.03137529575
45,3283.9568298628,-177.911882631294
46,3328.43480052063,-205.710614292434
47,3259.86460316948,-181.618376479615
48,3219.18578509235,-276.844477394329
49,3358.08678466567,-196.444374111885
50,3308.04906767562,-183.471628963522
51,3217.23987387607,-270.574317795262
52,3230.21261902443,-276.13406412749
53,3302.48932134339,-261.308077614713
54,3217.23987387607,-285.400315427532
55,3317.31530785617,-270.574317795262
56,3378.47251751068,-150.113150970154
57,3315.46206649176,-166.792389966838
58,3330.28805300453,-207.56386677634
59,3332.14130548844,-211.270360624662
60,3371.05952981404,-159.379391150703
61,3313.20727800824,-219.918857390237
62,3313.20727800824,-219.918857390237
63,3289.51657619503,-196.444374111885
64,3355.27602154894,-192.367223095087
65,3369.20627733013,-142.700152154019
66,3304.3425738273,-157.526149786289
67,3295.07632252726,-205.710614292434
68,3298.78282749507,-190.884627779657
69,3287.66333483062,-200.150867960206
70,3326.58155915621,-202.004120444113
71,3348.82054448513,-163.085896118517
72,3320.34228950777,-192.21278446147
73,3319.16856034008,-174.205388782973
74,3267.27759086612,-190.884627779657
75,3330.28805300453,-174.205388782973
76,3300.63606885949,-181.618376479615
